Time;Input;Th1;Th2
3.96;0.196520375;-0.721560464;0.622303349
3.97;0.172994723;-0.731326238;0.569812314
3.98;0.147686963;-0.73987129;0.514879835
3.99;0.120837426;-0.748416342;0.463609522
4;0.092705098;-0.756961395;0.406235599
4.01;0.06356529;-0.759402838;0.356186007
4.02;0.033707078;-0.765506447;0.290267033
4.03;0.003430544;-0.770389334;0.248762493
4.04;-0.035941545;-0.76794789;0.193830014
4.05;-0.076186532;-0.770389334;0.151104753
4.06;-0.115741033;-0.765506447;0.112041657
4.07;-0.154187217;-0.769168612;0.071757839
4.08;-0.191113776;-0.759402838;0.031474022
4.09;-0.226120424;-0.752078508;-0.006368353
4.1;-0.258822385;-0.744754177;-0.038107118
4.11;-0.288854809;-0.73254696;-0.064962997
4.12;-0.315877067;-0.71911902;-0.090598154
4.13;-0.339576869;-0.704470359;-0.112571145
4.14;-0.359674168;-0.68371809;-0.127219806
4.15;-0.37592478;-0.673952316;-0.151634241
4.16;-0.388123694;-0.650758602;-0.150413519
4.17;-0.396108005;-0.630006332;-0.146751354
4.18;-0.399759439;-0.615357671;-0.151634241
4.19;-0.399006437;-0.590943236;-0.141868467
4.2;-0.393825734;-0.568970245;-0.121116197
4.21;-0.384243441;-0.546997253;-0.097922484
4.22;-0.370335571;-0.526244984;-0.069845884
4.23;-0.352228004;-0.50305127;-0.019796292
4.24;-0.330095877;-0.490844053;0.008280308
4.25;-0.304162386;-0.470091783;0.063212787
4.26;-0.274697003;-0.456663844;0.108379492
4.27;-0.242013108;-0.440794461;0.180402075
4.28;-0.206465061;-0.427366522;0.249983215
4.29;-0.16844472;-0.415159304;0.317122911
4.3;-0.128377444;-0.401731365;0.389145495
4.31;-0.086717609;-0.393186313;0.485582513
4.32;-0.043943686;-0.389524147;0.541735714
4.33;-0.00055292;-0.389524147;0.665028611
4.34;0.032208243;-0.390744869;0.752920577
4.35;0.064522871;-0.387082704;0.834708934
4.36;0.096140252;-0.389524147;0.905510796
4.37;0.126675374;-0.396848478;0.997064927
4.38;0.155751925;-0.400510643;1.06908751
4.39;0.183007041;-0.402952087;1.148434424
4.4;0.208095992;-0.413938582;1.205808347
4.41;0.230696738;-0.424925078;1.258299382
4.42;0.250514295;-0.438353017;1.333984131
4.43;0.26728484;-0.445677348;1.382813001
4.44;0.280779524;-0.459105287;1.425538262
4.45;0.290807899;-0.473753948;1.447511254
4.46;0.29722094;-0.489623331;1.476808576
4.47;0.299913591;-0.507934157;1.49389868
4.48;0.298826797;-0.52380354;1.503664454
4.49;0.293948985;-0.540893645;1.498781567
4.5;0.285316955;-0.550659419;1.48657435
4.51;0.273016167;-0.570190967;1.457277028
4.52;0.257180389;-0.588501793;1.426758984
4.53;0.237990701;-0.599488289;1.397461662
4.54;0.215673869;-0.611695506;1.336425574
4.55;0.190500063;-0.626344167;1.255857939
4.56;0.162779964;-0.637330663;1.210691234
4.57;0.132861271;-0.643434272;1.155758755
4.58;0.101124634;-0.651979324;1.071528954
4.59;0.067979073;-0.665407263;0.986078431
4.6;0.033856915;-0.667848707;0.887199969
4.61;-0.001055574;-0.672731594;0.771231403
4.62;-0.047339404;-0.667848707;0.680897993
4.63;-0.093084859;-0.667848707;0.603992523
4.64;-0.137668408;-0.666627985;0.489244678
4.65;-0.180475634;-0.660524376;0.374496834
4.66;-0.220909838;-0.654420768;0.264631876
4.67;-0.258400568;-0.647096437;0.160870527
4.68;-0.292411942;-0.63488922;0.054667735
4.69;-0.322450649;-0.62146128;-0.058859388
4.7;-0.348073502;-0.605591897;-0.163841459
4.71;-0.368894426;-0.583618906;-0.259057755
4.72;-0.38459077;-0.567749523;-0.359156939
4.73;-0.394908832;-0.546997253;-0.466580453
4.74;-0.399668503;-0.533569314;-0.53372015
4.75;-0.398766933;-0.510375601;-0.609404898
4.76;-0.392181163;-0.489623331;-0.670440986
4.77;-0.379969628;-0.471312505;-0.733918517
4.78;-0.362272521;-0.445677348;-0.776643778
4.79;-0.339310955;-0.43347013;-0.825472648
4.8;-0.311384921;-0.412717861;-0.845004196
4.81;-0.278870045;-0.391965591;-0.85476997
4.82;-0.242213167;-0.374875486;-0.857211414
4.83;-0.201926769;-0.365109712;-0.855990692
4.84;-0.158582323;-0.350461051;-0.830355535
4.85;-0.11280263;-0.344357443;-0.802278935
4.86;-0.065253243;-0.333370947;-0.752229343
4.87;-0.016633078;-0.329708782;-0.70095903
4.88;0.024251736;-0.32848806;-0.625274281
4.89;0.060688518;-0.330929503;-0.545927367
4.9;0.096283083;-0.329708782;-0.447048905
4.91;0.130490128;-0.33581239;-0.348170443
4.92;0.162779964;-0.338253834;-0.237084764
4.93;0.192646898;-0.348019608;-0.110129702
4.94;0.219617393;-0.355343938;0.01682536
4.95;0.243257874;-0.367551156;0.145001144
4.96;0.263182059;-0.380979095;0.265852598
4.97;0.279057669;-0.389524147;0.418442817
4.98;0.290612413;-0.409055695;0.65770428
4.99;0.297639133;-0.422483635;0.677235828
5;0.3;-0.43347013;0.861564813
5.01;0.297629683;-0.4542224;0.987299153
5.02;0.29053741;-0.465208896;1.109371328
5.03;0.278807866;-0.479857557;1.210691234
5.04;0.262600886;-0.496947662;1.370605783
5.05;0.242149927;-0.51647921;1.48657435
5.06;0.217759308;-0.527465705;1.557376211
5.07;0.189800245;-0.539672923;1.645268177
5.08;0.158705715;-0.549438697;1.736822309
5.09;0.124964213;-0.559204471;1.819831388
5.1;0.089112474;-0.564087358;1.858894484
5.11;0.051727275;-0.570190967;1.900399023
5.12;0.013416408;-0.578736019;1.958993668
5.13;-0.033588011;-0.579956741;2.000498207
5.14;-0.084606342;-0.577515297;2.029795529
5.15;-0.134312156;-0.577515297;2.04444419
5.16;-0.181864869;-0.573853132;2.054209964
5.17;-0.226452015;-0.564087358;2.04444419
5.18;-0.267303416;-0.557983749;2.031016251
5.19;-0.303704888;-0.545776532;2.006601816
